Monthly Date,CO2 Emission
1973-01-01,106.363
1973-02-01,101.76
1973-03-01,110.553
1973-04-01,104.734
1973-05-01,114.897
1973-06-01,109.24
1973-07-01,112.139
1973-08-01,116.683
1973-09-01,106.558
1973-10-01,111.655
1973-11-01,112.111
1973-12-01,108.505
1974-01-01,101.702
1974-02-01,94.699
1974-03-01,104.722
1974-04-01,103.963
1974-05-01,110.262
1974-06-01,108.271
1974-07-01,111.896
1974-08-01,113.59
1974-09-01,103.154
1974-10-01,111.238
1974-11-01,106.852
1974-12-01,110.752
1975-01-01,109.278
1975-02-01,96.311
1975-03-01,107.668
1975-04-01,106.921
1975-05-01,109.491
1975-06-01,108.366
1975-07-01,110.528
1975-08-01,110.382
1975-09-01,105.805
1975-10-01,111.233
1975-11-01,102.308
1975-12-01,113.272
1976-01-01,108.551
1976-02-01,100.674
1976-03-01,113.871
1976-04-01,112.309
1976-05-01,111.165
1976-06-01,114.374
1976-07-01,117.051
1976-08-01,114.179
1976-09-01,112.267
1976-10-01,113.608
1976-11-01,113.584
1976-12-01,122.117
1977-01-01,112.072
1977-02-01,108.661
1977-03-01,117.714
1977-04-01,116.508
1977-05-01,114.986
1977-06-01,119.16
1977-07-01,118.405
1977-08-01,121.821
1977-09-01,117.014
1977-10-01,118.562
1977-11-01,117.087
1977-12-01,124.403
1978-01-01,117.015
1978-02-01,112.042
1978-03-01,125.332
1978-04-01,118.81
1978-05-01,126.992
1978-06-01,123.855
1978-07-01,122.475
1978-08-01,127.988
1978-09-01,117.731
1978-10-01,123.353
1978-11-01,122.424
1978-12-01,125.518
1979-01-01,123.167
1979-02-01,118.58
1979-03-01,130.63
1979-04-01,117.36
1979-05-01,123.727
1979-06-01,119.237
1979-07-01,118.053
1979-08-01,124.07
1979-09-01,116.094
1979-10-01,123.559
1979-11-01,116.883
1979-12-01,122.79
1980-01-01,119.451
1980-02-01,115.62
1980-03-01,120.083
1980-04-01,119.44
1980-05-01,117.929
1980-06-01,113.236
1980-07-01,117.026
1980-08-01,113.828
1980-09-01,113.574
1980-10-01,119.433
1980-11-01,109.646
1980-12-01,120.805
1981-01-01,121.17
1981-02-01,107.199
1981-03-01,116.473
1981-04-01,113.178
1981-05-01,115.107
1981-06-01,117.348
1981-07-01,118.903
1981-08-01,116.315
1981-09-01,113.487
1981-10-01,114.718
1981-11-01,110.621
1981-12-01,120.853
1982-01-01,111.095
1982-02-01,105.832
1982-03-01,115.756
1982-04-01,117.166
1982-05-01,114.467
1982-06-01,113.819
1982-07-01,114.521
1982-08-01,113.123
1982-09-01,109.834
1982-10-01,111.197
1982-11-01,112.45
1982-12-01,114.75
1983-01-01,107.056
1983-02-01,97.342
1983-03-01,118.863
1983-04-01,109.281
1983-05-01,114.806
1983-06-01,116.412
1983-07-01,115.006
1983-08-01,118.12
1983-09-01,113.911
1983-10-01,114.793
1983-11-01,112.349
1983-12-01,121.428
1984-01-01,114.815
1984-02-01,104.542
1984-03-01,116.514
1984-04-01,115.042
1984-05-01,120.139
1984-06-01,117.845
1984-07-01,118.902
1984-08-01,122.061
1984-09-01,112.518
1984-10-01,117.92
1984-11-01,114.588
1984-12-01,115.044
1985-01-01,116.437
1985-02-01,106.276
1985-03-01,118.768
1985-04-01,119.343
1985-05-01,122.776
1985-06-01,117.505
1985-07-01,121.754
1985-08-01,125.358
1985-09-01,112.937
1985-10-01,121.421
1985-11-01,116.266
1985-12-01,122.394
1986-01-01,117.285
1986-02-01,106.743
1986-03-01,123.482
1986-04-01,122.079
1986-05-01,125.322
1986-06-01,122.832
1986-07-01,128.998
1986-08-01,129.593
1986-09-01,118.161
1986-10-01,126.851
1986-11-01,119.988
1986-12-01,130.724
1987-01-01,121.635
1987-02-01,114.373
1987-03-01,125.246
1987-04-01,126.185
1987-05-01,129.344
1987-06-01,128.083
1987-07-01,133.173
1987-08-01,129.565
1987-09-01,125.854
1987-10-01,131.551
1987-11-01,122.368
1987-12-01,131.619
1988-01-01,128.296
1988-02-01,125.31
1988-03-01,136.189
1988-04-01,130.537
1988-05-01,130.398
1988-06-01,133.33
1988-07-01,131.656
1988-08-01,134.048
1988-09-01,128.995
1988-10-01,133.828
1988-11-01,129.664
1988-12-01,136.71
1989-01-01,128.918
1989-02-01,120.626
1989-03-01,136.676
1989-04-01,128.047
1989-05-01,133.387
1989-06-01,135.315
1989-07-01,132.658
1989-08-01,138.339
1989-09-01,127.045
1989-10-01,137.42
1989-11-01,131.177
1989-12-01,141.623
1990-01-01,132.13
1990-02-01,124.112
1990-03-01,136.18
1990-04-01,128.734
